<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/05/10,00:01:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,35
05/05/10,00:02:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,26
05/05/10,00:03:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,3
05/05/10,00:04:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,40
05/05/10,00:05:00,1171.7500000,1171.7500000,1171.7500000,1171.7500000,1
05/05/10,00:06:00,1172.0000000,1172.0000000,1171.5000000,1172.0000000,94
05/05/10,00:07:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,14
05/05/10,00:08:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,6
05/05/10,00:10:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,3
05/05/10,00:11:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,149
05/05/10,00:12:00,1171.7500000,1171.7500000,1171.5000000,1171.7500000,8
05/05/10,00:13:00,1171.7500000,1171.7500000,1171.7500000,1171.7500000,17
05/05/10,00:14:00,1172.0000000,1172.0000000,1171.5000000,1172.0000000,23
05/05/10,00:15:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,20
05/05/10,00:16:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,3
05/05/10,00:17:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,2
05/05/10,00:18:00,1171.7500000,1171.7500000,1171.7500000,1171.7500000,3
05/05/10,00:19:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,6
05/05/10,00:20:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,5
05/05/10,00:21:00,1172.0000000,1172.0000000,1171.7500000,1171.7500000,14
05/05/10,00:22:00,1171.7500000,1171.7500000,1171.7500000,1171.7500000,58
05/05/10,00:23:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,5
05/05/10,00:24:00,1172.0000000,1172.0000000,1171.7500000,1172.0000000,7
05/05/10,00:25:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,8
05/05/10,00:26:00,1172.0000000,1172.2500000,1172.0000000,1172.2500000,177
05/05/10,00:27:00,1172.2500000,1172.2500000,1172.0000000,1172.0000000,13
05/05/10,00:28:00,1172.0000000,1172.2500000,1172.0000000,1172.0000000,80
05/05/10,00:29:00,1172.2500000,1172.2500000,1172.0000000,1172.0000000,29
05/05/10,00:30:00,1172.0000000,1172.2500000,1172.0000000,1172.2500000,56
05/05/10,00:31:00,1172.0000000,1172.2500000,1172.0000000,1172.0000000,25
05/05/10,00:32:00,1172.0000000,1172.2500000,1172.0000000,1172.0000000,6
05/05/10,00:33:00,1172.2500000,1172.2500000,1172.0000000,1172.2500000,118
05/05/10,00:34:00,1172.2500000,1172.2500000,1172.0000000,1172.0000000,9
05/05/10,00:35:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,128
05/05/10,00:36:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,48
05/05/10,00:37:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,4
05/05/10,00:38:00,1172.2500000,1172.2500000,1172.2500000,1172.2500000,48
05/05/10,00:39:00,1172.2500000,1172.2500000,1172.0000000,1172.2500000,106
05/05/10,00:40:00,1172.2500000,1172.5000000,1172.2500000,1172.2500000,13
05/05/10,00:41:00,1172.2500000,1172.5000000,1172.2500000,1172.2500000,76
05/05/10,00:42:00,1172.2500000,1172.2500000,1172.0000000,1172.0000000,26
05/05/10,00:43:00,1172.2500000,1172.2500000,1172.0000000,1172.2500000,74
05/05/10,00:44:00,1172.2500000,1172.5000000,1172.2500000,1172.2500000,12
05/05/10,00:45:00,1172.2500000,1172.5000000,1172.2500000,1172.5000000,27
05/05/10,00:46:00,1172.5000000,1172.5000000,1172.5000000,1172.5000000,512
05/05/10,00:47:00,1172.5000000,1172.5000000,1172.5000000,1172.5000000,125
05/05/10,00:48:00,1172.5000000,1172.5000000,1172.5000000,1172.5000000,1
05/05/10,00:49:00,1172.5000000,1172.5000000,1172.2500000,1172.2500000,4
05/05/10,00:50:00,1172.5000000,1172.5000000,1172.2500000,1172.2500000,11
05/05/10,00:51:00,1172.2500000,1172.2500000,1172.2500000,1172.2500000,184
05/05/10,00:52:00,1172.0000000,1172.0000000,1172.0000000,1172.0000000,337
05/05/10,00:53:00,1172.0000000,1172.0000000,1171.5000000,1171.7500000,194
05/05/10,00:54:00,1171.7500000,1171.7500000,1171.5000000,1171.7500000,123
05/05/10,00:55:00,1171.5000000,1171.7500000,1171.5000000,1171.7500000,32
05/05/10,00:56:00,1171.5000000,1171.7500000,1171.5000000,1171.7500000,119
05/05/10,00:57:00,1171.5000000,1171.7500000,1171.5000000,1171.7500000,17
05/05/10,00:58:00,1171.5000000,1172.2500000,1171.5000000,1172.0000000,745
05/05/10,00:59:00,1171.7500000,1172.0000000,1171.7500000,1172.0000000,32
05/05/10,01:00:00,1171.7500000,1172.0000000,1171.5000000,1171.7500000,162
05/05/10,01:01:00,1171.5000000,1171.7500000,1171.0000000,1171.2500000,439
05/05/10,01:02:00,1171.2500000,1171.5000000,1171.0000000,1171.0000000,295
05/05/10,01:03:00,1171.0000000,1171.0000000,1170.7500000,1170.7500000,129
05/05/10,01:04:00,1171.0000000,1171.5000000,1170.7500000,1171.2500000,237
05/05/10,01:05:00,1171.2500000,1171.2500000,1171.0000000,1171.2500000,117
05/05/10,01:06:00,1171.2500000,1171.2500000,1171.0000000,1171.0000000,139
05/05/10,01:07:00,1171.0000000,1171.2500000,1171.0000000,1171.2500000,35
05/05/10,01:08:00,1171.0000000,1171.2500000,1171.0000000,1171.2500000,96
05/05/10,01:09:00,1171.2500000,1171.5000000,1171.0000000,1171.2500000,157
05/05/10,01:10:00,1171.2500000,1171.7500000,1171.2500000,1171.5000000,758
