<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100505,00:05,1172.0000000,1172.0000000,1171.7500000,1171.7500000,105
20100505,00:10,1172.0000000,1172.0000000,1171.5000000,1171.7500000,117
20100505,00:15,1172.0000000,1172.0000000,1171.5000000,1171.7500000,217
20100505,00:20,1172.0000000,1172.0000000,1171.7500000,1172.0000000,19
20100505,00:25,1172.0000000,1172.0000000,1171.7500000,1172.0000000,92
20100505,00:30,1172.0000000,1172.2500000,1172.0000000,1172.2500000,355
20100505,00:35,1172.0000000,1172.2500000,1172.0000000,1172.0000000,286
20100505,00:40,1172.0000000,1172.5000000,1172.0000000,1172.2500000,219
20100505,00:45,1172.2500000,1172.5000000,1172.0000000,1172.5000000,215
20100505,00:50,1172.5000000,1172.5000000,1172.2500000,1172.2500000,653
20100505,00:55,1172.2500000,1172.2500000,1171.5000000,1171.7500000,870
20100505,01:00,1171.5000000,1172.2500000,1171.5000000,1171.7500000,1075
20100505,01:05,1171.5000000,1171.7500000,1170.7500000,1171.2500000,1217
20100505,01:10,1171.2500000,1171.7500000,1171.0000000,1171.5000000,1185
20100505,01:15,1171.5000000,1171.7500000,1170.5000000,1171.2500000,743
20100505,01:20,1171.5000000,1172.2500000,1171.2500000,1172.0000000,617
20100505,01:25,1172.0000000,1173.0000000,1171.7500000,1172.7500000,2459
20100505,01:30,1172.7500000,1173.5000000,1172.5000000,1173.2500000,2233
20100505,01:35,1173.5000000,1173.7500000,1173.0000000,1173.5000000,2812
20100505,01:40,1173.5000000,1173.7500000,1173.2500000,1173.7500000,1087
20100505,01:45,1173.5000000,1173.7500000,1173.2500000,1173.2500000,431
20100505,01:50,1173.2500000,1173.7500000,1172.5000000,1172.7500000,1348
20100505,01:55,1173.0000000,1173.5000000,1172.5000000,1172.7500000,1658
20100505,02:00,1172.7500000,1174.0000000,1172.7500000,1173.5000000,1194
20100505,02:05,1173.2500000,1173.7500000,1173.0000000,1173.2500000,4070
20100505,02:10,1173.2500000,1174.5000000,1172.0000000,1172.7500000,6699
20100505,02:15,1172.5000000,1173.2500000,1171.7500000,1172.0000000,4473
20100505,02:20,1172.0000000,1172.0000000,1170.2500000,1170.5000000,6870
20100505,02:25,1170.5000000,1171.7500000,1170.2500000,1171.7500000,4702
20100505,02:30,1171.7500000,1172.2500000,1170.2500000,1170.7500000,3842
20100505,02:35,1170.7500000,1170.7500000,1167.5000000,1168.0000000,9610
20100505,02:40,1167.7500000,1168.7500000,1167.2500000,1167.7500000,8438
20100505,02:45,1167.7500000,1169.7500000,1167.5000000,1167.5000000,6957
20100505,02:50,1167.5000000,1169.0000000,1167.2500000,1168.7500000,4077
20100505,02:55,1168.5000000,1169.5000000,1168.0000000,1168.5000000,3099
20100505,03:00,1168.5000000,1168.5000000,1166.5000000,1167.2500000,7527
20100505,03:05,1167.5000000,1168.5000000,1166.7500000,1168.0000000,5588
20100505,03:10,1168.0000000,1169.2500000,1167.7500000,1169.0000000,3175
20100505,03:15,1169.2500000,1169.5000000,1168.2500000,1169.2500000,4288
20100505,03:20,1169.2500000,1171.0000000,1169.2500000,1171.0000000,5124
20100505,03:25,1171.0000000,1171.7500000,1170.0000000,1170.0000000,4521
